temparature,maxtemp,mintemp,dewpoint,cloud ,sunshine,winddirection,windspeed,rainfall
18.3,19.9,16.8,13.1,49,9.3,80,26.3,1
18.9,21.7,17.2,15.6,83,0.6,50,15.3,1
19.3,20.3,18,18.4,91,0,40,14.2,0
20.6,22.3,19.1,18.8,88,1,50,16.9,1
20.7,21.3,20.2,19.9,81,0,40,13.7,0
20.9,24.3,19.2,18,51,7.7,20,14.5,1
18.8,21.4,17,15,56,3.4,30,21.5,0
18.4,21,16.5,14.4,28,7.7,60,14.3,0
18.1,18.9,17.1,14.3,79,3.3,70,39.3,0
18,18.5,17.2,15.5,91,0,70,37.7,1
18.1,20.4,16.5,16.4,90,2.1,40,23.3,1
17.3,18.5,16.1,13.7,86,0.6,20,23.9,0
16.1,18.7,14.2,12.1,34,9.1,30,24.4,0
16.5,17.5,15.6,12.9,81,1.5,60,33.2,1
15.1,16.1,14.5,14.6,97,0,50,37.5,1
16.4,17.1,15.5,15.6,93,0,60,40,0
17.8,20.6,14.8,16.1,79,1.6,20,23.4,1
15.2,17.8,11.9,11.1,49,3.9,50,28.4,0
16.4,17.6,15.3,12.5,84,1,60,38,0
15.5,16.8,14.8,13.9,92,0,70,50.6,1
16.1,17.1,15.1,15.3,100,0,50,26.2,0
14.1,16.2,10.3,12.9,100,0,50,35.3,1
8.5,10.4,7,3.4,95,0,20,55.5,0
4.9,7.1,3.1,2.2,96,0,20,59.5,1
7.4,10.8,4.3,3.7,25,10.1,20,28.7,0
10.4,13.5,8.1,2.5,85,0.4,20,21.3,0
13,15.3,9.8,11.6,95,0.2,20,29.6,1
16.1,17.4,14.8,15.7,100,0,60,28.8,0
16.6,17.4,15.9,15.9,91,0.2,50,25,1
17.6,19.9,16.2,15.5,80,3.3,50,21.2,0
15.7,16.2,15.3,13.4,93,0.1,70,43.1,1
12.4,15.6,10.7,11.2,96,0,20,31.9,0
10.4,11.2,9.4,6.8,94,0,10,27.3,1
12.5,14.3,10.3,8.6,88,0.3,40,21.3,0
15.2,18.8,13.3,10.9,45,9.2,40,9.1,0
14.8,18.6,12.3,8.4,18,10.1,20,24.4,0
13.6,17.4,11.2,0.3,13,10.2,20,44.7,0
13.7,18.1,9.9,1.7,2,10.2,20,20.5,0
14.8,19.6,11.6,4.3,0,10.2,40,16.7,0
16.7,21.2,12.7,7.2,29,10.2,40,17.2,0
16.6,17.3,15.3,9.8,77,0.1,40,22,1
18.8,22.4,17.2,16.4,80,2.4,40,15.8,0
19.2,21.6,17.6,18.5,86,0.6,30,13.9,1
23.1,25.9,21.3,21.1,76,3.5,200,10.2,0
21.7,24.6,17.4,18.1,82,3.9,20,15.3,1
13.2,17.5,11.4,6.6,88,0,20,33.5,1
12.8,15.1,10.9,6,89,0.7,20,23.5,0
12.9,14.4,11.6,8.9,91,0,20,19.2,1
13.7,15,11.7,11.8,95,0,40,18.6,0
15.3,16.3,14.6,13.3,94,0,40,22.2,1
16,20.1,12.5,9.6,55,5.9,20,23.9,1
15,15.9,14.7,11,82,0,70,44.7,0
16.1,17.6,14.6,14.7,88,0.3,50,24.4,1
15.5,16.7,13.7,14.3,88,0,20,19.3,0
13.7,15.5,12.3,10,88,0,20,28,1
14.8,16.8,13.5,10.5,87,0.1,20,20.4,0
15.2,17.6,14,11.6,88,0.2,30,15.2,1
15.5,17.5,13.8,11.7,79,5,20,9.1,0
16.6,20.9,13.3,11.5,49,9.5,20,9.2,0
18.5,24.8,14.4,10.1,19,10.7,40,16.9,0
16.5,19.7,14.6,11.5,43,9.9,70,34.2,0
16.6,20.6,14.4,11.4,32,10.6,60,27.1,0
18.7,23.8,15.4,14,46,10,40,14.7,0
20.2,23.2,18.1,16.9,71,3,40,15.4,0
20.8,23.1,19.2,16.9,83,0.5,30,13.3,1
21.8,25.9,19.2,18,72,7.6,220,6.6,0
19.7,21.3,18.9,18.2,76,0,40,13.8,1
20.1,21.5,18.9,18.9,88,0.3,40,15.3,0
20.8,22.9,17.1,19.9,88,0.6,50,15.1,0
13.4,17.2,10,12.2,93,0,20,39.7,1
11.9,14.3,10,8,93,0,20,25,0
13.6,14.5,12.7,11.4,100,0,50,36,1
15.8,17,14.4,15.1,99,0,50,22.8,0
15.3,16.5,14.2,12.4,89,1.1,20,26.7,1
14.8,15.5,14,11.1,94,0,70,38,1
15.3,16.3,14.1,13.6,100,0,60,33.2,0
16.5,17.4,15.6,16,97,0,50,26.5,1
19.5,21.9,17.2,19,92,0.1,30,13.1,1
22.4,24.9,20.3,21.4,85,1.5,40,12.5,0
19,23.1,17.6,17.4,96,0,50,28,1
17.1,18.2,16.4,16.3,95,0.1,60,38.3,0
16.6,17.3,15.9,16,100,0,50,33.5,1
18.4,20.6,17.1,18,95,0.6,40,22,0
15.3,17.7,12.7,14.9,99,0,70,42,1
13.7,15.7,11.6,9.2,88,0.2,20,19.4,1
15.8,20.2,12.6,9.8,22,11.1,70,13.4,0
17.3,22.4,14.6,8.4,19,11.1,30,14.6,0
16.9,19.9,15.2,10,58,5.6,60,26.9,0
17.7,19.4,15.7,9.6,74,2.4,50,20.5,0
20,22.2,18.4,16.3,89,2.4,40,14.8,1
21.5,25.5,19.1,18.9,83,6.1,50,4.5,0
21.9,25.3,19.9,19.5,83,3.6,50,8.3,0
